Books,Author,Date,
Shadow of Night , Deborah Harkness ," July 29, 2012",
Shadowfever , Karen Marie Moning ," February 6, 2011",
Shannon's Way , A.J. Cronin ," September 5, 1948",
Ship of Fools , Katherine Anne Porter ," April 29, 1962",
Shock Wave , John Sandford ," October 23, 2011",
Shopaholic & Ba, ," March 18, 2007",
Silent Honor , Danielle Steel ," December 1, 1996",
Silver Borne , Patricia Briggs ," April 18, 2010",
Simple Genius , David Baldacci ," May 13, 2007",
"Sincerely, Willis Wayde ", John P. Marquand ," April 10, 1955",
Six Years , Harlan Coben ," April 7, 2013",
Sizzling Sixteen , Janet Evanovich ," July 11, 2010",
Skeleton Crew , Stephen King ," June 23, 1985",
Skin Game , Jim Butcher ," June 15, 2014",
